INPUT_TABLE,,,,,
Variable ID,,,,,
StubTechElecMarket,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,electric.sector.market
MA,electricity,offshore wind,offshore wind usa,2100,New England grid
MD,electricity,offshore wind,offshore wind usa,1975,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,1990,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2005,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2010,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2015,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2020,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2025,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2030,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2035,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2040,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2045,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2050,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2055,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2060,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2065,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2070,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2075,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2080,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2085,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2090,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2095,Mid-Atlantic grid
MD,electricity,offshore wind,offshore wind usa,2100,Mid-Atlantic grid
ME,electricity,offshore wind,offshore wind usa,1975,New England grid
ME,electricity,offshore wind,offshore wind usa,1990,New England grid
ME,electricity,offshore wind,offshore wind usa,2005,New England grid
ME,electricity,offshore wind,offshore wind usa,2010,New England grid
ME,electricity,offshore wind,offshore wind usa,2015,New England grid
ME,electricity,offshore wind,offshore wind usa,2020,New England grid
ME,electricity,offshore wind,offshore wind usa,2025,New England grid
ME,electricity,offshore wind,offshore wind usa,2030,New England grid
ME,electricity,offshore wind,offshore wind usa,2035,New England grid
ME,electricity,offshore wind,offshore wind usa,2040,New England grid
ME,electricity,offshore wind,offshore wind usa,2045,New England grid
ME,electricity,offshore wind,offshore wind usa,2050,New England grid
ME,electricity,offshore wind,offshore wind usa,2055,New England grid
ME,electricity,offshore wind,offshore wind usa,2060,New England grid
ME,electricity,offshore wind,offshore wind usa,2065,New England grid
ME,electricity,offshore wind,offshore wind usa,2070,New England grid
ME,electricity,offshore wind,offshore wind usa,2075,New England grid
ME,electricity,offshore wind,offshore wind usa,2080,New England grid
ME,electricity,offshore wind,offshore wind usa,2085,New England grid
ME,electricity,offshore wind,offshore wind usa,2090,New England grid
ME,electricity,offshore wind,offshore wind usa,2095,New England grid
ME,electricity,offshore wind,offshore wind usa,2100,New England grid
MI,electricity,offshore wind,offshore wind usa,1975,Central East grid
MI,electricity,offshore wind,offshore wind usa,1990,Central East grid
